iter	Passed	Remaining
0	4	850
1	7	721
2	11	761
3	14	726
4	18	722
5	22	719
6	26	729
7	30	720
8	33	711
9	37	705
10	40	702
11	44	701
12	48	695
13	52	695
14	55	688
15	59	688
16	63	683
17	68	697
18	72	688
19	76	686
20	79	678
21	83	676
22	86	668
23	90	665
24	94	658
25	97	651
26	101	647
27	104	640
28	108	637
29	111	631
30	115	630
31	119	626
32	123	624
33	126	618
34	130	616
35	134	612
36	138	609
37	141	605
38	145	599
39	148	595
40	152	589
41	155	585
42	158	579
43	162	577
44	166	571
45	169	566
46	172	562
47	175	557
48	181	559
49	184	554
50	188	550
51	191	545
52	195	543
53	199	538
54	203	536
55	206	531
56	210	529
57	214	524
58	217	519
59	221	516
60	224	512
61	228	508
62	231	503
63	235	500
64	238	496
65	242	493
66	246	488
67	249	483
68	252	479
69	256	475
70	259	472
71	263	467
72	267	465
73	270	460
74	274	457
75	277	453
76	280	448
77	284	444
78	287	440
79	291	437
80	294	432
81	298	430
82	302	425
83	305	421
84	308	417
85	311	413
86	315	410
87	319	406
88	323	403
89	326	399
90	330	395
91	333	391
92	337	388
93	340	384
94	343	380
95	347	376
96	350	372
97	354	369
98	358	365
99	361	361
100	365	357
101	368	353
102	371	350
103	375	346
104	379	343
105	382	339
106	386	336
107	390	332
108	394	329
109	397	325
110	400	321
111	404	317
112	407	313
113	411	310
114	415	306
115	419	303
116	423	300
117	427	296
118	430	293
119	434	289
120	438	286
121	441	282
122	445	278
123	448	274
124	451	271
125	454	267
126	459	263
127	462	260
128	466	256
129	469	253
130	473	249
131	477	245
132	480	241
133	483	238
134	486	234
135	490	230
136	494	227
137	497	223
138	501	219
139	504	216
140	507	212
141	510	208
142	515	205
143	518	201
144	523	198
145	526	194
146	530	191
147	533	187
148	536	183
149	540	180
150	543	176
151	546	172
152	550	168
153	554	165
154	557	161
155	561	158
156	564	154
157	567	150
158	571	147
159	574	143
160	578	140
161	581	136
162	586	133
163	589	129
164	593	125
165	596	122
166	599	118
167	603	114
168	606	111
169	610	107
170	613	104
171	617	100
172	621	96
173	625	93
174	628	89
175	631	86
176	635	82
177	638	78
178	642	75
179	645	71
180	648	68
181	652	64
182	655	60
183	659	57
184	662	53
185	666	50
186	669	46
187	673	42
188	676	39
189	679	35
190	683	32
191	686	28
192	690	25
193	693	21
194	697	17
195	701	14
196	704	10
197	708	7
198	711	3
199	715	0
